"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"<U+AF43><U+C774> <U+B420><U+AC8C> https://t.co/9HANjVsl6w",FALSE,4,NA,2018-04-21 16:16:32,FALSE,NA,"987726789647585280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",3,FALSE,FALSE,NA,NA
"@breannayde So...mini wheats but no Hawaiian pizza, right? <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>",FALSE,0,"breannayde",2018-04-21 16:15:39,FALSE,"987541353088208897","987726569664909313","1217092896","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wayne_inHali",0,FALSE,FALSE,NA,NA
"I’m still pretty mad over the fact that we ordered a bacon pizza but received a Hawaiian pizza instead.",FALSE,1,NA,2018-04-21 16:14:56,FALSE,NA,"987726387267166210",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shaybacorey",0,FALSE,FALSE,NA,NA
"<U+C5B8><U+C81C> <U+B4E4><U+C5B4><U+B3C4> <U+B108><U+BB34> <U+C88B><U+C740> <U+C601><U+C5B4> https://t.co/SdpYIAyH3Y",FALSE,10,NA,2018-04-21 16:13:40,FALSE,NA,"987726070701961216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",21,FALSE,FALSE,NA,NA
"RT @ppppippppo: <U+BD04><U+C778><U+AC00> <U+BD10> - <U+C5D0><U+B9AD><U+B0A8>X<U+C6EC><U+B514>  (<U+CD9C><U+CC98> : <U+C720><U+D76C><U+C5F4><U+C758> <U+C2A4><U+CF00><U+CE58><U+BD81> | <U+B124><U+C774><U+BC84>TV) https://t.co/x647JVAzMe",FALSE,0,NA,2018-04-21 16:10:11,FALSE,NA,"987725192741797888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",38,TRUE,FALSE,NA,NA
"The Hawaiian pizza I just ordered doesn’t have enough pineapples on it<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2018-04-21 16:05:57,FALSE,NA,"987724126906388480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cruela54",0,FALSE,FALSE,NA,NA
"Listening to @ThisMorningShow and randomly hear @WSJ @kelseykgee interviewed about her article on “Hawaiian” pizza!… https://t.co/yuWqb4pjDL",FALSE,0,NA,2018-04-21 16:04:30,TRUE,NA,"987723763314843648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JosephTexDozier",0,FALSE,FALSE,NA,NA
"IM EATING HAWAIIAN PIZZA FIGHT ME",FALSE,4,NA,2018-04-21 16:00:51,FALSE,NA,"987722844565057536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","3rachacha",0,FALSE,FALSE,NA,NA
"RT @iscream9292: <U+C5D0><U+C5B4><U+D31F> <U+ACE0><U+BBFC><U+D558><U+C2DC><U+B294> <U+BD84><U+B4E4> 
                      <U+C0AC><U+C138><U+C694> <U+C88B><U+C544><U+C694>!! https://t.co/VhPho49lWF",FALSE,0,NA,2018-04-21 15:42:51,FALSE,NA,"987718311499644928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",10,TRUE,FALSE,NA,NA
"<U+B300><U+C131><U+B2F9> <U+ACE0><U+B4F1><U+D559><U+AD50> <U+B54C> <U+C131><U+C545><U+C804><U+ACF5> <U+CE5C><U+AD6C><U+AC00> <U+D589><U+C0AC><U+B780> <U+D589><U+C0AC><U+B9C8><U+B2E4> <U+BD88><U+B7EC><U+C11C> <U+B10C><U+B354><U+B9AC><U+AC00> <U+B09C><U+B2E4>",FALSE,1,NA,2018-04-21 15:37:36,FALSE,NA,"987716990340022272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"gusto mo ba ng pineapple sa pizza mo? — ye. pero kung ayaw ko bakit ako magoorder ng hawaiian piZZA BOBO BA KO https://t.co/NIhCezhtTs",FALSE,6,NA,2018-04-21 15:35:36,FALSE,NA,"987716490806820869",NA,"<a href=""https://curiouscat.me"" rel=""nofollow"">Curious Cat</a>","shenen_ai",0,FALSE,FALSE,NA,NA
"@mkevinjnr All you people with that Hawaiian pizza are nasty",FALSE,0,"mkevinjnr",2018-04-21 15:30:57,FALSE,"987702714732658688","987715318079459328","104424011","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Justkariro",0,FALSE,FALSE,NA,NA
"If we’re being honest Hawaiian Pizza is trash...",FALSE,0,NA,2018-04-21 15:28:01,FALSE,NA,"987714580083290112",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","BruchasM",0,FALSE,FALSE,NA,NA
"<U+C624><U+B298> <U+C720><U+C2A4><U+CF00> <U+CD9C><U+C5F0><U+C9C4> <U+B2E4> <U+C0AC><U+B791><U+D574><U+C11C> <U+C870><U+AE08> <U+D589><U+BCF5><U+B418><U+B124>",FALSE,1,NA,2018-04-21 15:26:06,FALSE,NA,"987714098740609024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"<U+B098><U+C624><U+BA74> <U+B354> <U+C0AC><U+B791><U+D574> <U+C545>",FALSE,0,NA,2018-04-21 15:25:02,FALSE,NA,"987713827708944384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"<U+C2B9><U+C644> <U+C544><U+C9C1> <U+B098><U+C624><U+C9C0> <U+C54A><U+C73C><U+C168><U+C9C0><U+B9CC> <U+BBF8><U+B9AC> <U+C0AC><U+B791><U+D574><U+C694>",FALSE,0,NA,2018-04-21 15:24:40,FALSE,NA,"987713736541593600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"Craving for Hawaiian pizza at this hour <ed><U+00A0><U+00BD><ed><U+00B8><U+00A3>",FALSE,3,NA,2018-04-21 15:20:57,FALSE,NA,"987712802390331397",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bttm_line",0,FALSE,FALSE,NA,NA
"Back In Time - E SENS - <U+B4E4><U+C5B4><U+BCF4><U+C138><U+C694>.

https://t.co/5ilUJuIWY9

#Melon https://t.co/fN56GBdYC2",FALSE,1,NA,2018-04-21 15:13:04,FALSE,NA,"987710819998711814",NA,"<a href=""http://www.melon.com"" rel=""nofollow"">MelonMusic</a>","Hawaiian__pizza",1,FALSE,FALSE,NA,NA
"Personally I don’t like Hawaiian pizza, but I know a few people who love it",FALSE,0,NA,2018-04-21 15:12:46,FALSE,NA,"987710743922593799",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","necromant2005",0,FALSE,FALSE,NA,NA
"<U+C5B4><U+B5A1><U+D574> <U+C720><U+C2A4><U+CF00> 10<U+BD84> <U+B0A8><U+C558><U+B2E4>",FALSE,0,NA,2018-04-21 15:07:02,FALSE,NA,"987709297961324544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"Saturday: Pizza Special

$2 Pizza by the slice - Hawaiian pizza",FALSE,0,NA,2018-04-21 15:05:37,FALSE,NA,"987708945220472833",NA,"<a href=""http://www.yourareacode.com/"" rel=""nofollow"">YourAreaCode</a>","FUDaddys",0,FALSE,FALSE,NA,NA
"RT @yan_geol: <U+C62C><U+D574> <U+C804><U+C8FC><U+C601><U+D654><U+C81C> <U+B9E4><U+C9C4><U+C791> 181<U+D3B8><U+C774><U+B77C><U+ACE0>... 246<U+D3B8> <U+C911><U+C5D0> <U+D3D0><U+B9C9><U+C2DD> <U+D3EC><U+D568> 181<U+D3B8> <U+B9E4><U+C9C4>;;; <U+B514><U+C988><U+B2C8> <U+B54C><U+BB38><U+C778><U+AC00> <U+D588><U+C73C><U+B098> <U+B9E4><U+C9C4><U+C791> <U+BCF4><U+BA74> <U+B514><U+C988><U+B2C8><U+B294> <U+BCC4><U+B85C> <U+C5C6><U+C74C>... <U+C0AC><U+B78C> <U+C5C4><U+CCAD> <U+B9CE><U+ACA0><U+B2E4>...",FALSE,0,NA,2018-04-21 15:03:18,FALSE,NA,"987708359976435712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",54,TRUE,FALSE,NA,NA
"RT @GoKsj: &lt;<U+B2F9><U+C2E0><U+C758> <U+BD80><U+D0C1>&gt;GV. <U+AE30><U+C790><U+B2D8><U+C774> <U+C138> <U+C5EC><U+BC30><U+C6B0><U+C640><U+C758> <U+D638><U+D761><U+C5D0> <U+B300><U+D574> <U+BB3C><U+C5B4><U+C8FC><U+C154><U+C11C> <U+C88B><U+C558><U+ACE0>, <U+CD5C><U+D53C><U+B514><U+B2D8><U+C758> <U+C74C><U+C545><U+AC10><U+B3C5><U+B2D8><U+C5D0> <U+B300><U+D55C> <U+C9E7><U+C740> <U+BA58><U+D2B8><U+B3C4> <U+B9E4><U+C6B0> <U+C720><U+C775>(?)<U+D588><U+B2E4>.<U+B3D9><U+BC18><U+C790><U+B4F1><U+B85D><U+BC95><U+C758> <U+C81C><U+C815><U+C758> <U+D544><U+C694><U+C131> <U+D53C><U+B825><U+D558><U+C2E0> <U+AE30><U+C790><U+B2D8>,'<U+C18C><U+C911><U+D55C> <U+C0AC><U+B78C><U+C744> <U+ACF5><U+C720><U+D558><U+B294> <U+C0AC><U+C774>'<U+C5D0> <U+B300><U+D55C> <U+AC1C><U+C778><U+C801><U+C778>…",FALSE,0,NA,2018-04-21 14:58:01,FALSE,NA,"987707028993855488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",19,TRUE,FALSE,NA,NA
"RT @Rotring_: <U+B2F9><U+C2E0><U+C758> <U+BD80><U+D0C1> <U+BCF4><U+ACE0> <U+C634> <U+ADF9><U+C7A5><U+C5D0><U+C11C> <U+D2B8><U+B808><U+C77C><U+B7EC> <U+D558><U+B098> <U+BCF4><U+ACE0> <U+D070> <U+C0DD><U+AC01><U+C5C6><U+C774> <U+BD24><U+B294><U+B370> <U+AE30><U+B300><U+BCF4><U+B2E4> <U+B354> <U+C7AC><U+BC0C><U+C5C8><U+B2E4> <U+D53C> <U+D558><U+B098> <U+C548> <U+C11E><U+C778> <U+AD00><U+ACC4><U+AC00> <U+C560><U+B9E4><U+D558><U+AC8C> <U+AC00><U+C871> <U+D14C><U+B450><U+B9AC> <U+C548><U+C73C><U+B85C> <U+C5BD><U+D600><U+B4E4><U+C5B4><U+AC00><U+B294> <U+ACFC><U+C815><U+C744> <U+B364><U+B364><U+D55C> <U+D0DC><U+B3C4><U+C758> <U+D55C><U+AD6D><U+C5B4><U+B85C> <U+BCF4><U+ACE0> <U+C788><U+AE30> <U+C88B><U+C558><U+C74C> <U+C601><U+C5B4><U+B85C><U+B294> <U+B9CE><U+C774> <U+BCF8>…",FALSE,0,NA,2018-04-21 14:57:17,FALSE,NA,"987706846159847425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",15,TRUE,FALSE,NA,NA
"RT @9pt9pt: <U+D53C><U+B514><U+B2D8><U+C740> <U+C6B0><U+B9AC><U+AC00> ‘<U+C5C4><U+B9C8>'<U+B77C><U+B294> <U+C5ED><U+D560><U+C5D0> <U+BB58> <U+AE30><U+B300><U+D558><U+B294><U+C9C0>, <U+ADF8><U+AC78> <U+B2E4><U+C2DC> <U+C0DD><U+AC01><U+D574><U+BCF4><U+B294> <U+ACC4><U+AE30><U+AC00> <U+B41C> <U+C601><U+D654><U+C600><U+B2E4><U+ACE0> <U+B9D0><U+C500><U+D558><U+C2EC>. <U+C2E4><U+CCB4><U+B294> <U+C5C6><U+B294><U+B370> <U+C624><U+B85C><U+C9C0> ‘<U+C5ED><U+D560>’<U+C5D0> <U+B300><U+D55C> <U+AE30><U+B300><U+AC00> <U+C720><U+B2EC><U+B9AC> <U+AC15><U+D558><U+B2E4><U+B294> <U+C810><U+C5D0><U+C11C> &lt;<U+BA70><U+B290><U+B77C><U+AE30>&gt;<U+AC00> <U+B5A0><U+C624><U+B974><U+AE30><U+B3C4> <U+D588><U+B2E4><U+ACE0>.",FALSE,0,NA,2018-04-21 14:56:17,FALSE,NA,"987706594732392449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",7,TRUE,FALSE,NA,NA
"I want sriracha and garlic parmesan chicken wings w chicken alfredo pasta and hawaiian pizza <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B0><U+00BD>",FALSE,0,NA,2018-04-21 14:45:47,FALSE,NA,"987703953218404354",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","janaysabelx",0,FALSE,FALSE,NA,NA
"<U+C5EC><U+C131><U+ADF9> <U+B9CE><U+C774> <U+C0DD><U+AE30><U+B124> <U+C88B><U+B2E4>",FALSE,0,NA,2018-04-21 14:42:52,FALSE,NA,"987703219995394048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"RT @djuna01: [<U+B2E8><U+B3C5>]<U+C11C><U+C601><U+D76C>, '<U+C2DC><U+D06C><U+B9BF> <U+B9C8><U+B354>'<U+B85C> 4<U+B144><U+B9CC> <U+B4DC><U+B77C><U+B9C8> <U+BCF5><U+ADC0> https://t.co/7VYtN5WksY",FALSE,0,NA,2018-04-21 14:42:39,FALSE,NA,"987703161791045633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",10,TRUE,FALSE,NA,NA
"@loveuvelvet <U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160> <U+B354> <U+B098><U+C740> <U+C0AC><U+B78C><U+C774> <U+B418><U+B3C4><U+B85D> <U+D667><U+D305>",FALSE,1,"loveuvelvet",2018-04-21 14:34:19,FALSE,"987700924243046401","987701064899022849","4723626060","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"@Hawaiian__pizza <U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B><U+314B> <U+B9C8><U+C9C0><U+B9C9> <U+BB38><U+C7A5> <U+C81C><U+AC00> <U+D574><U+C57C><U+D560> <U+B9D0><U+C774><U+B77C><U+AD6C><U+C694><U+3160><U+3160><U+3160>",FALSE,0,"Hawaiian__pizza",2018-04-21 14:33:45,FALSE,"987700638778773504","987700924243046401","888677754526253056","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","loveuvelvet",0,FALSE,FALSE,NA,NA
"@loveuvelvet <U+BB34><U+C2A8> <U+B9D0><U+C500><U+C774><U+C5D0><U+C694> <U+B354><U+D050><U+3160><U+3160> n<U+B2EC><U+C529> <U+C548> <U+C62C><U+B77C><U+C624><U+B294> <U+BD84> <U+C81C><U+C678><U+D558><U+ACE0><U+B294> <U+AC70><U+C758> <U+C548> <U+D574><U+C694> <U+C5B8><U+C81C><U+B098> <U+C800><U+B97C> <U+C774><U+D574><U+D574> <U+C8FC><U+C154><U+C11C> <U+AC10><U+C0AC><U+D569><U+B2C8><U+B2E4>...",FALSE,0,"loveuvelvet",2018-04-21 14:32:37,FALSE,"987700281218551808","987700638778773504","4723626060","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"hating on hawaiian pizza doesn't make you look cool",FALSE,13,NA,2018-04-21 14:19:52,FALSE,NA,"987697429897084928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","flexinkarla",0,FALSE,FALSE,NA,NA
"@Mollage_ I just hope you don't wish to be a Hawaiian pizza <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>",FALSE,0,"Mollage_",2018-04-21 14:14:44,FALSE,"987639549487656960","987696137615433728","1047642054","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LemurKinyash",0,FALSE,FALSE,NA,NA
"** https://t.co/TgwQYsVW2P",FALSE,2,NA,2018-04-21 14:06:50,FALSE,NA,"987694148919615488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"@itzsourciety I get Hawaiian everytime I get pizza hut o-o 
It creates the perfect balance between hot and cold, sa… https://t.co/BuFclGUWFt",FALSE,1,"itzsourciety",2018-04-21 14:05:20,TRUE,"987693231109484545","987693771692355585","3105623403","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YaBoiKaids",0,FALSE,FALSE,NA,NA
"RT @rulrululu: <U+C0F9> <U+B2F4><U+C8FC><U+C548><U+C73C><U+B85C> <U+C6A9><U+AFC8><U+AFB8><U+ACE0> <U+B2E4><U+C2DC><U+B3C4><U+C804> <U+D55C><U+B2E4> https://t.co/BIUwAh8voI",FALSE,0,NA,2018-04-21 14:05:02,FALSE,NA,"987693697528512512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",2,TRUE,FALSE,NA,NA
"gusto ko ng hawaiian pizza. guess my sign — you're probably a pisces or a sagittarius or an aquarius https://t.co/8vqO1gQBIm",FALSE,0,NA,2018-04-21 14:00:14,FALSE,NA,"987692490009571329",NA,"<a href=""https://curiouscat.me"" rel=""nofollow"">Curious Cat</a>","gigichans",0,FALSE,FALSE,NA,NA
"RT @wenever940221: 180421 Best of best #<U+C6EC><U+B514> #WENDY 
<U+D751><U+D751> <U+B118><U+C870><U+C544> <U+C9DC><U+B9BF><U+D574> <U+C608><U+C05C><U+AC8C> <U+CD5C><U+ACE0><U+C57C> https://t.co/t1wjcHG9uA",FALSE,0,NA,2018-04-21 13:58:04,FALSE,NA,"987691943449608193",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",699,TRUE,FALSE,NA,NA
"I ordered a pizza hawaiian and sara look at me in SHOOK",FALSE,10,NA,2018-04-21 13:55:21,FALSE,NA,"987691259086196736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AestheticGuine",0,FALSE,FALSE,NA,NA
"RT @MacCocktail: Welcome to the Great Hawaiian Pizza Debate of 2018 https://t.co/jVkMOAo9RU",FALSE,0,NA,2018-04-21 13:55:17,FALSE,NA,"987691242111881216",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","cjacobkuria",5,TRUE,FALSE,NA,NA
"@ej_branagan @FellowGingy Child - Hawaiian pizza is just wrong on more levels than the Eureka tower",FALSE,2,"ej_branagan",2018-04-21 13:45:34,FALSE,"987629084896215041","987688799030280192","4163837472","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","au_glenn",0,FALSE,FALSE,NA,NA
"Plus pizza Hawaiian pizza of greenwich",FALSE,0,"vszpnt_",2018-04-21 13:30:27,FALSE,"987684866002010113","987684994943406082","617028254","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vszpnt_",0,FALSE,FALSE,NA,NA
"Girls can do anything <U+BC14><U+C774><U+C624><U+C5D0> <U+C801><U+C5B4><U+B193><U+ACE0> <U+C5EC><U+B3CC> <U+BAB8><U+B9E4> <U+D488><U+D3C9><U+C744> <U+D558><U+C9C8> <U+C54A><U+B098> <U+C131><U+D76C><U+B871><U+C744> <U+BBF8><U+B7EC><U+B9C1><U+C774><U+B77C><U+ACE0> <U+C6B0><U+AE30><U+C9C8> <U+C54A><U+B098> <U+B300><U+CCB4> <U+C65C> <U+ADF8><U+B798><U+C694>",FALSE,6,NA,2018-04-21 13:30:15,FALSE,NA,"987684944838213632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",23,FALSE,FALSE,NA,NA
"@951O13_JIMIN <U+C131><U+D76C><U+B871><U+C740> <U+C5B4><U+B5A4> <U+C0C1><U+D669><U+C5D0><U+C11C><U+B4E0> <U+C6A9><U+C778><U+B418><U+C9C0> <U+C54A><U+ACE0><U+C694> <U+C798><U+BABB><U+C744> <U+D588><U+C73C><U+BA74> <U+C778><U+C9C0><U+B77C><U+B3C4> <U+D558><U+C138><U+C694> <U+B5B3><U+B5B3><U+D558><U+AC8C> <U+B098><U+C624><U+C2E4> <U+C0C1><U+D669><U+C774> <U+C804><U+D600> <U+C544><U+B2CC><U+B370><U+C694>?",FALSE,0,NA,2018-04-21 13:23:26,FALSE,NA,"987683229346885632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"RT @GoPride: Trending on @GoPride  | Dylan Geick talks wrestling, writing, Hawaiian pizza, and 'Jylan' https://t.co/yHSV006lyK #lgbtq #lgbt…",FALSE,0,NA,2018-04-21 13:22:31,FALSE,NA,"987682996110098432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrinceScrapbook",3,TRUE,FALSE,NA,NA
"<U+D574><U+B2F9> <U+C131><U+D76C><U+B871><U+C744> <U+C57C><U+AC24>, <U+AD6C> <U+BCA8><U+AC24> <U+D53C><U+B514><U+C5EA> <U+B530><U+BA74><U+C11C> <U+ADF8><U+B300><U+B85C> <U+BD24><U+C5C8><U+B294><U+B370> <U+ADF8><U+AC78> <U+D2B8><U+C704><U+D130><U+C5D0><U+C11C> <U+BCFC> <U+C904><U+C740> <U+BAB0><U+B790><U+B124> <U+AC70><U+AE30> <U+C544><U+B2C8><U+BA74> <U+CC3E><U+C9C0><U+B3C4> <U+BABB><U+D558><U+B294> <U+AC78> <U+C11C><U+CE58> <U+C5B4><U+B5BB><U+AC8C> <U+D588><U+C744><U+C9C0> <U+BED4><U+D574><U+C11C> <U+B108><U+BB34> <U+C5ED><U+ACB9><U+B2E4>",FALSE,8,NA,2018-04-21 13:21:04,FALSE,NA,"987682634565210112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",30,FALSE,FALSE,NA,NA
"RT @DeanKarnazes: Who would have known? A Greek guy, Sam Panopoulos, from Ontario, Canada invented Hawaiian pizza. I know putting pineapple…",FALSE,0,NA,2018-04-21 13:13:23,FALSE,NA,"987680698839351298",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elgoyo2009",5,TRUE,FALSE,NA,NA
"@Nct_nanaemon <U+C544><U+B2C8><U+C5D0><U+C694><U+3160><U+3160> <U+C774><U+D574><U+D574> <U+C8FC><U+C154><U+C11C> <U+AC10><U+C0AC><U+D569><U+B2C8><U+B2E4> <U+C88B><U+C740> <U+D558><U+B8E8> <U+BCF4><U+B0B4><U+C138><U+C694>!",FALSE,0,"Nct_nanaemon",2018-04-21 13:12:24,FALSE,"987680263160283136","987680452457578496","984066589006811141","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"<U+C131><U+D76C><U+B871> <U+AE00> <U+ADF8><U+B300><U+B85C> <U+B178><U+CD9C><U+C2DC><U+D0A4><U+C9C0> <U+B9C8><U+C138><U+C694> n<U+CC28> <U+AC00><U+D574> <U+B420> <U+C218><U+B3C4> <U+C788><U+C5B4><U+C694>",FALSE,4,NA,2018-04-21 13:11:08,FALSE,NA,"987680131593351168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",24,FALSE,FALSE,NA,NA
"@12ToyamaKaraya Hawaiian pizza ftw",FALSE,1,"12ToyamaKaraya",2018-04-21 13:09:21,FALSE,"987678910631456768","987679685382258689","982250659826118659","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanetheosuman",0,FALSE,FALSE,NA,NA
"hawaiian pizza <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2018-04-21 13:08:10,FALSE,NA,"987679385883852801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","araxmd",0,FALSE,FALSE,NA,NA
"RT @GoPride: Trending on @GoPride  | Dylan Geick talks wrestling, writing, Hawaiian pizza, and 'Jylan' https://t.co/yHSV006lyK #lgbtq #lgbt…",FALSE,0,NA,2018-04-21 13:07:57,FALSE,NA,"987679331186069506",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ILoveGayChicago",3,TRUE,FALSE,NA,NA
"@Nct_nanaemon <U+C8C4><U+C1A1><U+D55C><U+B370> <U+C131><U+D76C><U+B871> <U+AE00> <U+C774><U+BAA8><U+D2F0><U+CF58><U+C73C><U+B85C> <U+AC00><U+B824><U+C11C> <U+C7AC><U+C5C5><U+B85C><U+B4DC> <U+D574><U+C8FC><U+C2DC><U+B4E0><U+C9C0> <U+C0AD><U+C81C><U+D574> <U+C8FC><U+C2DC><U+AE38> <U+BD80><U+D0C1><U+B4DC><U+B9BD><U+B2C8><U+B2E4> n<U+CC28> <U+AC00><U+D574><U+AC00> <U+B420> <U+C218> <U+C788><U+B294> <U+C0C1><U+D669><U+C774><U+B77C><U+C11C><U+C694>",FALSE,0,"Nct_nanaemon",2018-04-21 13:07:47,FALSE,"987670426158428161","987679287674265602","984066589006811141","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"<U+C544> <U+C9C4><U+C9DC> <U+C7A5><U+B09C><U+D558><U+B098>",FALSE,0,NA,2018-04-21 12:58:08,FALSE,NA,"987676862816993281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"Hawaiian pizza and mascots. But they are RATIONAL! Cc: @Clairetastic @fullerjoh https://t.co/Wy754pXlK5",FALSE,0,NA,2018-04-21 12:56:58,FALSE,NA,"987676567282184192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tracicoulter",0,FALSE,FALSE,NA,NA
